11,011 Agha,Carlow,SE,South-East,Southern,306,361,9,9,0,0,0,3,5,4,2,5,322,382,95.03,94.5,2.8,2.36,0,0,0,0.79,1.55,1.05,0.62,1.31,309,370,7,3,0,0,0,3,4,3,2,2,0,1,322,382,95.96,96.86,2.17,0.79,0,0,0,0.79,1.24,0.79,0.62,0.52,0,0.26,309,361,0,0,9,10,1,0,0,5,0,4,3,2,322,382,95.96,94.5,0,0,2.8,2.62,0.31,0,0,1.31,0,1.05,0.93,0.52,303,349,12,13,4,15,3,5,322,382,94.1,91.36,3.73,3.4,1.24,3.93,0.93,1.31,289,352,19,14,6,2,3,0,317,368,91.17,95.65,5.99,3.8,1.89,0.54,0.95,0,8,4,4,0,0,0,50,50,0,0,0,8,0,2,3,3,0,25,37.5,37.5
12,012 Ballinacarrig,Carlow,SE,South-East,Southern,879,911,33,51,1,4,7,4,5,11,7,13,932,994,94.31,91.65,3.54,5.13,0.11,0.4,0.75,0.4,0.54,1.11,0.75,1.31,905,941,6,18,1,4,7,4,4,11,6,9,3,7,932,994,97.1,94.67,0.64,1.81,0.11,0.4,0.75,0.4,0.43,1.11,0.64,0.91,0.32,0.7,901,935,0,7,22,38,0,4,0,4,2,1,7,5,932,994,96.67,94.06,0,0.7,2.36,3.82,0,0.4,0,0.4,0.21,0.1,0.75,0.5,849,892,63,64,17,42,8,7,937,1005,90.61,88.76,6.72,6.37,1.81,4.18,0.85,0.7,842,935,43,22,24,15,11,4,920,976,91.52,95.8,4.67,2.25,2.61,1.54,1.2,0.41,45,25,14,4,1,1,55.56,31.11,8.89,2.22,2.22,45,4,13,4,24,8.89,28.89,8.89,53.33
13,013 Ballintemple,Carlow,SE,South-East,Southern,435,510,26,31,0,0,0,0,6,5,12,12,479,558,90.81,91.4,5.43,5.56,0,0,0,0,1.25,0.9,2.51,2.15,444,523,19,22,0,0,0,0,6,6,9,5,1,2,479,558,92.69,93.73,3.97,3.94,0,0,0,0,1.25,1.08,1.88,0.9,0.21,0.36,446,523,0,0,26,31,0,0,0,0,5,2,2,2,479,558,93.11,93.73,0,0,5.43,5.56,0,0,0,0,1.04,0.36,0.42,0.36,393,455,64,84,15,19,8,1,480,559,81.88,81.4,13.33,15.03,3.13,3.4,1.67,0.18,429,514,30,26,8,11,5,0,472,551,90.89,93.28,6.36,4.72,1.69,2,1.06,0,14,7,4,2,0,1,50,28.57,14.29,0,7.14,14,0,6,0,8,0,42.86,0,57.14
14,014 Ballon,Carlow,SE,South-East,Southern,534,605,39,31,40,43,0,6,13,6,5,17,631,708,84.63,85.45,6.18,4.38,6.34,6.07,0,0.85,2.06,0.85,0.79,2.4,557,618,14,15,40,46,0,6,12,6,3,10,5,7,631,708,88.27,87.29,2.22,2.12,6.34,6.5,0,0.85,1.9,0.85,0.48,1.41,0.79,0.99,547,608,0,1,68,76,0,5,3,9,6,2,7,7,631,708,86.69,85.88,0,0.14,10.78,10.73,0,0.71,0.48,1.27,0.95,0.28,1.11,0.99,596,640,33,44,13,24,4,2,646,710,92.26,90.14,5.11,6.2,2.01,3.38,0.62,0.28,512,634,61,34,28,15,23,11,624,694,82.05,91.35,9.78,4.9,4.49,2.16,3.69,1.59,80,24,22,24,5,5,30,27.5,30,6.25,6.25,80,44,4,7,25,55,5,8.75,31.25
15,015 Ballyellin,Carlow,SE,South-East,Southern,351,390,15,22,1,6,0,0,0,2,4,6,371,426,94.61,91.55,4.04,5.16,0.27,1.41,0,0,0,0.47,1.08,1.41,359,403,5,11,1,5,0,0,0,2,5,5,1,0,371,426,96.77,94.6,1.35,2.58,0.27,1.17,0,0,0,0.47,1.35,1.17,0.27,0,359,400,0,2,9,22,0,0,0,1,0,0,3,1,371,426,96.77,93.9,0,0.47,2.43,5.16,0,0,0,0.23,0,0,0.81,0.23,339,372,33,38,2,16,1,1,375,427,90.4,87.12,8.8,8.9,0.53,3.75,0.27,0.23,361,405,5,10,2,2,1,3,369,420,97.83,96.43,1.36,2.38,0.54,0.48,0.27,0.71,20,11,3,6,0,0,55,15,30,0,0,20,7,2,0,11,35,10,0,55
16,016 Ballymoon,Carlow,SE,South-East,Southern,246,313,12,12,0,0,0,0,0,0,2,4,260,329,94.62,95.14,4.62,3.65,0,0,0,0,0,0,0.77,1.22,249,320,10,6,0,0,0,0,0,0,1,1,0,2,260,329,95.77,97.26,3.85,1.82,0,0,0,0,0,0,0.38,0.3,0,0.61,251,318,0,0,8,8,0,0,0,0,0,0,1,3,260,329,96.54,96.66,0,0,3.08,2.43,0,0,0,0,0,0,0.38,0.91,209,267,48,55,2,7,1,0,260,329,80.38,81.16,18.46,16.72,0.77,2.13,0.38,0,243,319,3,3,7,0,3,0,256,322,94.92,99.07,1.17,0.93,2.73,0,1.17,0,5,5,0,0,0,0,100,0,0,0,0,5,0,3,0,2,0,60,0,40
17,017 Borris,Carlow,SE,South-East,Southern,861,876,77,69,19,48,0,0,2,20,23,25,982,1038,87.68,84.39,7.84,6.65,1.93,4.62,0,0,0.2,1.93,2.34,2.41,894,915,39,28,19,51,0,0,1,16,22,24,7,4,982,1038,91.04,88.15,3.97,2.7,1.93,4.91,0,0,0.1,1.54,2.24,2.31,0.71,0.39,889,923,0,0,60,86,0,0,15,22,4,3,14,4,982,1038,90.53,88.92,0,0,6.11,8.29,0,0,1.53,2.12,0.41,0.29,1.43,0.39,923,953,58,65,20,21,7,2,1008,1041,91.57,91.55,5.75,6.24,1.98,2.02,0.69,0.19,897,949,24,44,20,13,25,19,966,1025,92.86,92.59,2.48,4.29,2.07,1.27,2.59,1.85,112,34,35,31,1,11,30.36,31.25,27.68,0.89,9.82,112,47,11,0,54,41.96,9.82,0,48.21
18,018 Burton Hall,Carlow,SE,South-East,Southern,333,423,24,22,0,2,0,0,2,5,8,10,367,462,90.74,91.56,6.54,4.76,0,0.43,0,0,0.54,1.08,2.18,2.16,348,440,9,9,0,2,0,0,0,4,8,5,2,2,367,462,94.82,95.24,2.45,1.95,0,0.43,0,0,0,0.87,2.18,1.08,0.54,0.43,351,434,0,0,6,20,0,0,0,0,4,0,6,8,367,462,95.64,93.94,0,0,1.63,4.33,0,0,0,0,1.09,0,1.63,1.73,325,419,25,30,11,9,7,7,368,465,88.32,90.11,6.79,6.45,2.99,1.94,1.9,1.51,330,436,17,13,8,8,4,0,359,457,91.92,95.4,4.74,2.84,2.23,1.75,1.11,0,14,4,7,2,1,0,28.57,50,14.29,7.14,0,14,2,5,0,7,14.29,35.71,0,50
19,019 Carlow Rural,Carlow,SE,South-East,Southern,10353,10799,744,755,392,948,95,124,246,540,530,670,12360,13836,83.76,78.05,6.02,5.46,3.17,6.85,0.77,0.9,1.99,3.9,4.29,4.84,10667,11113,337,305,399,1038,97,127,256,557,460,500,144,196,12360,13836,86.3,80.32,2.73,2.2,3.23,7.5,0.78,0.92,2.07,4.03,3.72,3.61,1.17,1.42,10414,10583,136,209,1013,1956,255,365,114,256,165,174,263,293,12360,13836,84.26,76.49,1.1,1.51,8.2,14.14,2.06,2.64,0.92,1.85,1.33,1.26,2.13,2.12,10947,11703,911,1283,447,687,243,274,12548,13947,87.24,83.91,7.26,9.2,3.56,4.93,1.94,1.96,10395,12357,816,755,518,314,428,143,12157,13569,85.51,91.07,6.71,5.56,4.26,2.31,3.52,1.05,2595,1002,926,463,108,96,38.61,35.68,17.84,4.16,3.7,2595,1044,146,123,1282,40.23,5.63,4.74,49.4
20,020 Clogrenan,Carlow,SE,South-East,Southern,743,914,44,61,0,3,0,0,1,3,5,13,793,994,93.69,91.95,5.55,6.14,0,0.3,0,0,0.13,0.3,0.63,1.31,758,947,21,27,0,3,0,0,0,1,5,7,9,9,793,994,95.59,95.27,2.65,2.72,0,0.3,0,0,0,0.1,0.63,0.7,1.13,0.91,758,944,0,0,22,33,0,0,2,3,3,7,8,7,793,994,95.59,94.97,0,0,2.77,3.32,0,0,0.25,0.3,0.38,0.7,1.01,0.7,733,879,49,75,10,34,4,8,796,996,92.09,88.25,6.16,7.53,1.26,3.41,0.5,0.8,725,926,24,28,30,19,3,0,782,973,92.71,95.17,3.07,2.88,3.84,1.95,0.38,0,38,25,7,3,0,3,65.79,18.42,7.89,0,7.89,38,4,13,0,21,10.53,34.21,0,55.26
