339,012 Firhouse-Ballycullen,South Dublin,Eastern and Midlands,127,2.3,27.9,13.85,6697,86.87,91.19,1.04,82.43,1.21
340,013 Firhouse-Knocklyon,South Dublin,Eastern and Midlands,55,2.26,25.13,11.63,3284,92.27,95.48,0.39,85.26,2.07
341,014 Firhouse Village,South Dublin,Eastern and Midlands,180,2.29,22.47,9.91,9651,83.25,87.35,1.98,78.89,2.98
342,015 Lucan-Esker,South Dublin,Eastern and Midlands,307,1.82,23.97,11.3,21226,71.51,75.12,3.5,71.29,2.46
451,075 Kilmeage South,Kildare,Eastern and Midlands,21,1.12,12.53,4.87,1787,89.71,92.82,1,87.42,0.78
543,078 Kilkeasy,Kilkenny,Southern,4,0.43,14.59,6.01,337,93.87,97.21,0,96.38,0
544,079 Kiltorcan,Kilkenny,Southern,2,1.14,14.77,4.55,145,91.19,96.23,0,98.74,0
545,080 Knocktopher,Kilkenny,Southern,3,1.42,18.23,5.7,471,90.75,91.91,2.12,92.32,0
546,081 Pleberstown,Kilkenny,Southern,6,1.79,16.07,8.04,165,92.7,97.75,0,88.76,0
547,082 Powerstown,Kilkenny,Southern,3,0.63,12.54,3.76,426,90.64,95.32,0,93.66,0
548,083 Stonyford,Kilkenny,Southern,9,0.49,18.45,8.5,547,92.24,95.95,0.34,86.05,4.17
549,084 Thomastown,Kilkenny,Southern,45,1.48,14.88,7.68,1812,83.08,88.03,3.71,86.37,4.08
550,085 Tullaherin,Kilkenny,Southern,7,0.7,19.01,7.04,179,83.64,92.06,0,88.48,0
551,086 Ullard,Kilkenny,Southern,2,3.03,14.65,4.55,250,84.18,88.22,6.06,92.03,20
552,087 Woolengrange,Kilkenny,Southern,4,0.49,16.26,8.37,271,90.64,95.65,0.33,93.09,0
553,088 Balleen,Kilkenny,Southern,4,1,13.67,6.33,416,93.48,95.28,0.45,95.96,20
554,089 Ballyconra,Kilkenny,Southern,2,0,13.14,4.57,244,95.69,98.43,0,96.08,0
555,090 Baunmore,Kilkenny,Southern,2,0.93,12.04,5.56,137,89.54,96.08,0.65,94.77,0
556,091 Clomantagh,Kilkenny,Southern,2,1.03,12.82,4.1,261,90.31,93.77,1.04,91.38,0
557,092 Galmoy,Kilkenny,Southern,3,1.42,15.64,3.32,289,95.38,98.35,0,94.74,0
558,093 Glashare,Kilkenny,Southern,2,0.47,10.28,5.61,313,95.43,98.48,0,91.46,0
559,094 Johnstown,Kilkenny,Southern,4,0.64,12.54,1.45,836,93.72,94.73,0.56,93.85,0
560,095 Lisdowney,Kilkenny,Southern,1,0.67,9.33,6.67,195,92.42,93.84,0,94.84,0
561,096 Rathbeagh,Kilkenny,Southern,1,2.38,19.05,2.98,242,92.37,97.71,0,90.84,0
562,097 Tubbridbrittain,Kilkenny,Southern,2,0,13.27,1.53,298,97.7,98.03,0,88.2,0
563,098 Urlingford,Kilkenny,Southern,7,0.51,7.7,1.64,1005,83.47,85.71,4.9,93.13,8
564,099 Aglish,Kilkenny,Southern,7,0.83,14.14,3.33,814,93.56,95.06,0.11,92.77,2.44
565,100 Ballincrea,Kilkenny,Southern,1,0,11.06,2.4,282,90.97,92.26,0.65,91.29,0
566,101 Dunkitt,Kilkenny,Southern,7,0.27,13.7,5.48,1005,95.08,98.2,0,95.37,0
691,016 Bunlahy,Longford,Eastern and Midlands,3,0.78,13.28,3.13,169,92.35,97.27,0,97.87,0
692,017 Columbkille,Longford,Eastern and Midlands,3,1.47,10.51,1.96,547,91.93,96.97,0,90.95,0
693,018 Coolamber,Longford,Eastern and Midlands,5,2.19,9.21,3.51,342,93.44,94.54,0,94.34,0
694,019 Creevy,Longford,Eastern and Midlands,3,1.84,9.68,3.69,297,94.89,95.85,0,97.44,0
695,020 Crosagstown,Longford,Eastern and Midlands,1,1.84,12.27,7.36,212,87.97,94.19,0,88.8,0
696,021 Currygrane,Longford,Eastern and Midlands,0,1.15,14.94,2.3,116,90.63,93.75,0,85.94,0
697,022 Dalystown,Longford,Eastern and Midlands,0,0,7.26,4.84,178,95.19,97.33,0,97.87,0
698,023 Drummeel,Longford,Eastern and Midlands,0,0,6.38,3.19,127,92.7,97.08,0,92.03,0
699,701 024/035 Firry/Newgrove,Longford,Eastern and Midlands,0,2.96,11.11,2.96,204,94.01,92.17,0,92.63,0
700,025 Gelshagh,Longford,Eastern and Midlands,3,0.46,11.87,1.83,305,91.87,94.88,0,92.9,5.88
731,002 St. Laurence Gate,Louth,Eastern and Midlands,54,1.65,15.4,6.34,3136,78.73,81.02,4.04,83.27,3.5
732,003 West Gate,Louth,Eastern and Midlands,74,0.97,8.54,4.32,5085,84.88,87.16,2.1,85.55,3.1
733,004 Dundalk Urban No. 1,Louth,Eastern and Midlands,24,1.5,8.08,2.94,1707,79.65,84.32,0.93,83.85,4.05
734,005 Dundalk Urban No. 2,Louth,Eastern and Midlands,11,0.86,7.09,2.93,788,67.7,68.99,6.7,79.98,3.75
735,006 Dundalk Urban No. 3,Louth,Eastern and Midlands,21,2.1,16.43,8.62,1092,80.18,87.37,1.47,79.78,3.11
736,007 Dundalk Urban No. 4,Louth,Eastern and Midlands,89,1.88,13.66,5.79,4685,77.97,86.87,1.75,85.74,2.99
737,008 Ardee Rural,Louth,Eastern and Midlands,15,1.06,14.36,5.14,2577,90.26,96.04,0.14,92.97,1.43
738,009 Ardee Urban,Louth,Eastern and Midlands,39,0.88,11.18,4.12,3847,84.62,87.7,2.84,89.24,4.04
739,010 Castlebellingham,Louth,Eastern and Midlands,17,1.06,13.63,5.31,1408,87.4,93.48,1.06,89.42,0.85
740,011 Clonkeen,Louth,Eastern and Midlands,10,1.37,14.42,4.58,595,91.96,95.52,0.15,92.75,0
741,012 Collon,Louth,Eastern and Midlands,22,1.67,15.6,6.96,1516,86.04,91.88,0.85,88.76,2.63
742,013 Dromin,Louth,Eastern and Midlands,4,0.25,15.44,6.58,554,91.27,97.03,0,94.92,0
743,014 Dromiskin,Louth,Eastern and Midlands,22,1.14,15.85,6.82,1843,84.81,95.21,0.14,91.72,2.97
744,015 Drumcar,Louth,Eastern and Midlands,12,0.91,12.22,5.65,1363,90.09,95.04,0.26,91.42,0
745,016 Dunleer,Louth,Eastern and Midlands,25,0.94,13.99,4.2,2451,88.04,92.35,1.08,91.49,4.43
746,017 Stabannan,Louth,Eastern and Midlands,5,1.02,16.58,7.14,561,90.78,97.73,0,94.84,0
747,018 Tallanstown,Louth,Eastern and Midlands,8,1.09,11.35,4.51,932,88.43,92.88,0.28,91.78,2.08
748,019 Ballymascanlan,Louth,Eastern and Midlands,20,1.74,17.02,7.21,1633,74.43,95.21,0.41,93.85,2.11
749,020 Barronstown,Louth,Eastern and Midlands,5,1.26,17.15,5.65,587,79.22,98.25,0,95.56,0
774,002 Navan Urban,Meath,Eastern and Midlands,37,1.84,12.59,5.4,2059,65.62,68.23,7.84,79.86,4.32
775,003 Trim Urban,Meath,Eastern and Midlands,11,2.01,10.81,4.56,931,75.88,77.67,4.32,85.58,6.14
776,004 Drumcondra,Meath,Eastern and Midlands,10,1.12,10.1,3.59,1193,93.13,94.93,0.62,94.03,3.92
777,005 Grangegeeth,Meath,Eastern and Midlands,3,0.5,9.3,5.53,550,92.59,95.79,0.51,95.45,10.53
814,042 Trohanny,Meath,Eastern and Midlands,1,0.45,7.62,1.79,310,94.51,96.34,0,88.41,0
815,043 Ardcath,Meath,Eastern and Midlands,18,1.07,10.97,4.83,1741,91.63,94.37,0.74,91.42,3.09
816,044 Duleek,Meath,Eastern and Midlands,41,0.78,11.3,4.11,4582,88.76,91.22,0.66,89.3,4.85
817,045 Julianstown,Meath,Eastern and Midlands,136,1.96,17.94,8.42,7755,81.43,84.69,1.07,80.34,2.47
818,046 Mellifont,Meath,Eastern and Midlands,7,1.02,14.32,5.63,526,94.6,95.86,1.62,94.12,0
819,047 St. Mary's (part),Meath,Eastern and Midlands,163,1.66,19.33,8.89,8743,81.67,86.25,2.04,83.18,2.77
820,048 Stamullin,Meath,Eastern and Midlands,52,1.47,17.76,6.28,4061,88.4,90.51,1,87.03,1.5
821,049 Ardbraccan,Meath,Eastern and Midlands,19,1.14,14.23,4.92,1780,91.42,95.74,0.05,93.47,1.82
