564,099 Aglish,Kilkenny,Southern,7,0.83,14.14,3.33,814,93.56,95.06,0.11,92.77,2.44
565,100 Ballincrea,Kilkenny,Southern,1,0,11.06,2.4,282,90.97,92.26,0.65,91.29,0
566,101 Dunkitt,Kilkenny,Southern,7,0.27,13.7,5.48,1005,95.08,98.2,0,95.37,0
691,016 Bunlahy,Longford,Eastern and Midlands,3,0.78,13.28,3.13,169,92.35,97.27,0,97.87,0
692,017 Columbkille,Longford,Eastern and Midlands,3,1.47,10.51,1.96,547,91.93,96.97,0,90.95,0
693,018 Coolamber,Longford,Eastern and Midlands,5,2.19,9.21,3.51,342,93.44,94.54,0,94.34,0
694,019 Creevy,Longford,Eastern and Midlands,3,1.84,9.68,3.69,297,94.89,95.85,0,97.44,0
695,020 Crosagstown,Longford,Eastern and Midlands,1,1.84,12.27,7.36,212,87.97,94.19,0,88.8,0
696,021 Currygrane,Longford,Eastern and Midlands,0,1.15,14.94,2.3,116,90.63,93.75,0,85.94,0
697,022 Dalystown,Longford,Eastern and Midlands,0,0,7.26,4.84,178,95.19,97.33,0,97.87,0
698,023 Drummeel,Longford,Eastern and Midlands,0,0,6.38,3.19,127,92.7,97.08,0,92.03,0
699,701 024/035 Firry/Newgrove,Longford,Eastern and Midlands,0,2.96,11.11,2.96,204,94.01,92.17,0,92.63,0
700,025 Gelshagh,Longford,Eastern and Midlands,3,0.46,11.87,1.83,305,91.87,94.88,0,92.9,5.88
736,007 Dundalk Urban No. 4,Louth,Eastern and Midlands,89,1.88,13.66,5.79,4685,77.97,86.87,1.75,85.74,2.99
737,008 Ardee Rural,Louth,Eastern and Midlands,15,1.06,14.36,5.14,2577,90.26,96.04,0.14,92.97,1.43
738,009 Ardee Urban,Louth,Eastern and Midlands,39,0.88,11.18,4.12,3847,84.62,87.7,2.84,89.24,4.04
739,010 Castlebellingham,Louth,Eastern and Midlands,17,1.06,13.63,5.31,1408,87.4,93.48,1.06,89.42,0.85
740,011 Clonkeen,Louth,Eastern and Midlands,10,1.37,14.42,4.58,595,91.96,95.52,0.15,92.75,0
741,012 Collon,Louth,Eastern and Midlands,22,1.67,15.6,6.96,1516,86.04,91.88,0.85,88.76,2.63
742,013 Dromin,Louth,Eastern and Midlands,4,0.25,15.44,6.58,554,91.27,97.03,0,94.92,0
814,042 Trohanny,Meath,Eastern and Midlands,1,0.45,7.62,1.79,310,94.51,96.34,0,88.41,0
820,048 Stamullin,Meath,Eastern and Midlands,52,1.47,17.76,6.28,4061,88.4,90.51,1,87.03,1.5
821,049 Ardbraccan,Meath,Eastern and Midlands,19,1.14,14.23,4.92,1780,91.42,95.74,0.05,93.47,1.82
822,050 Ardmulchan,Meath,Eastern and Midlands,11,1.08,15.17,6.5,872,92.18,95.56,0.32,94.2,0
823,051 Bective,Meath,Eastern and Midlands,17,0.7,17.16,9,1031,91.24,95.49,0.35,92.31,8.57
824,052 Castletown,Meath,Eastern and Midlands,8,1.8,12.76,3.6,919,91.26,94.54,0.1,88.59,3.77
825,053 Domhnach Phˆdraig,Meath,Eastern and Midlands,12,1.27,14.61,6.08,1623,93.38,96.55,0,94.37,0
942,079 Rahan,Offaly,Eastern and Midlands,7,2.18,13.73,5.01,670,93.18,95.55,0.28,95.83,0
943,080 Raheenakeeran,Offaly,Eastern and Midlands,2,0.34,6.38,2.68,377,89.34,93.13,0.71,91.27,0
944,081 Rathfeston,Offaly,Eastern and Midlands,2,0.7,13.33,3.86,421,95.68,97.05,0,92.5,0
945,082 Rathrobin,Offaly,Eastern and Midlands,3,0.78,10.2,3.14,375,93.52,95.26,0,94.29,0
946,083 Screggan,Offaly,Eastern and Midlands,10,1.6,15.02,8.31,1343,92.49,95.94,0.07,93.64,0
947,084 Silverbrook,Offaly,Eastern and Midlands,5,1.74,14.97,8.03,676,94.81,97.05,0.14,94.84,7.14
948,085 Tinamuck,Offaly,Eastern and Midlands,2,0,11.73,1.68,236,90.42,95.4,1.15,96.55,0
949,086 Tinnycross,Offaly,Eastern and Midlands,6,1.71,17.41,5.8,424,93.39,97.8,0.22,93.89,0
950,087 Tullamore Rural,Offaly,Eastern and Midlands,27,1.59,21.15,10.36,2045,68.19,70.62,10.57,80.86,4.91
951,001 Athlone East Urban,Westmeath,Eastern and Midlands,33,1.96,14.64,8.19,2915,74.29,76.17,5.4,77.25,3.24
952,002 Athlone West Urban,Westmeath,Eastern and Midlands,22,1.76,11.3,5.74,2520,80.51,82.78,4.82,85.43,4.91
953,003 Athlone East Rural,Westmeath,Eastern and Midlands,62,1.7,18.01,9.38,5263,73.5,76.02,6.28,78.92,3.65
954,004 Auburn,Westmeath,Eastern and Midlands,3,0.85,19.87,7.91,643,91.34,96.45,0.43,93.54,0
955,005 Ballybroder,Westmeath,Eastern and Midlands,3,0.66,10.6,5.3,229,97.03,98.31,0,94.98,0
1059,004 Wexford No. 1 Urban,Wexford,Southern,33,2.29,12.34,6.29,1260,80.31,82.09,6.12,83.36,5.56
1060,005 Wexford No. 2 Urban,Wexford,Southern,35,0.98,8.1,2.89,3475,85.91,88.36,3.29,87.11,2.75
1106,051 Gorey Rural,Wexford,Southern,56,1.07,13.7,5.79,4859,79.15,81.69,7.17,84.45,4.82
1107,052 Gorey Urban,Wexford,Southern,42,1.57,11.34,4.68,2837,83.12,85.41,4.34,84.58,2.38
1205,026 Stratford,Wicklow,Eastern and Midlands,3,1.44,14.44,3.61,388,90.44,94.41,0,81.63,0
1206,027 Talbotstown,Wicklow,Eastern and Midlands,4,1.15,16.03,4.58,359,91.82,94.63,2.3,73.42,4
1207,028 The Grange,Wicklow,Eastern and Midlands,9,1.47,14.65,7.69,355,86.17,91.75,0.73,84.73,0
1263,002 Ennis No. 2 Urban,Clare,Southern,14,1.01,8.42,2.44,1355,77.25,79.13,4.5,80.48,3.72
1264,003 Ennis No. 3 Urban,Clare,Southern,5,4.97,14.92,8.84,170,67.46,68.65,3.97,73.83,1.22
